i,seed,status,score,elapsed_sec,moves,pellets_total,pellets_eaten,completion_pct,ts
0,12345,WIN,103450,12.482566,2190,100,100,100.0,1755751464
1,12346,WIN,4250,17.17599,2985,100,100,100.0,1755751482
2,12347,LOSS,4010,9.28169,1636,100,81,81.0,1755751492
3,12348,LOSS,3990,9.19961,1606,100,79,79.0,1755751502
4,12349,LOSS,3990,9.060165,1606,100,79,79.0,1755751511
5,12350,LOSS,4150,17.019069,2971,100,90,90.0,1755751529
6,12351,LOSS,2640,13.989445,2438,100,99,99.0,1755751544
7,12352,LOSS,4120,10.300746,1808,100,87,87.0,1755751555
8,12353,LOSS,4130,10.343895,1808,100,88,88.0,1755751566
9,12354,LOSS,4130,10.460021,1831,100,88,88.0,1755751577
0,12345,WIN,103450,12.493883,2190,100,100,100.0,1755841134
1,12346,WIN,4250,16.973607,2985,100,100,100.0,1755841151
2,12347,LOSS,4010,9.420834,1636,100,81,81.0,1755841161
3,12348,LOSS,3990,9.046825,1606,100,79,79.0,1755841171
4,12349,LOSS,3990,9.006404,1606,100,79,79.0,1755841181
5,12350,LOSS,4150,16.875755,2971,100,90,90.0,1755841199
6,12351,LOSS,2640,13.778847,2438,100,99,99.0,1755841213
7,12352,LOSS,4120,10.364114,1808,100,87,87.0,1755841224
8,12353,LOSS,4130,10.181258,1808,100,88,88.0,1755841235
9,12354,LOSS,4130,10.356067,1831,100,88,88.0,1755841246
0,12345,WIN,103450,12.488345,2190,100,100,100.0,1755841310
1,12346,WIN,4250,16.96853,2985,100,100,100.0,1755841327
2,12347,LOSS,4010,9.28121,1636,100,81,81.0,1755841338
3,12348,LOSS,3990,9.117019,1606,100,79,79.0,1755841347
4,12349,LOSS,3990,9.082449,1606,100,79,79.0,1755841357
5,12350,LOSS,4150,16.935439,2971,100,90,90.0,1755841375
6,12351,LOSS,2640,13.969506,2438,100,99,99.0,1755841390
7,12352,LOSS,4120,10.313817,1808,100,87,87.0,1755841401
8,12353,LOSS,4130,10.245682,1808,100,88,88.0,1755841412
9,12354,LOSS,4130,10.431149,1831,100,88,88.0,1755841423
0,12345,WIN,103450,12.515431,2190,100,100,100.0,1755841480
1,12346,WIN,4250,17.049492,2985,100,100,100.0,1755841497
2,12347,LOSS,4010,9.338829,1636,100,81,81.0,1755841507
3,12348,LOSS,3990,9.108136,1606,100,79,79.0,1755841517
4,12349,LOSS,3990,9.164076,1606,100,79,79.0,1755841527
5,12350,LOSS,4150,16.835979,2971,100,90,90.0,1755841544
6,12351,LOSS,2640,13.791043,2438,100,99,99.0,1755841559
7,12352,LOSS,4120,10.290074,1808,100,87,87.0,1755841570
8,12353,LOSS,4130,10.343514,1808,100,88,88.0,1755841581
9,12354,LOSS,4130,10.459417,1831,100,88,88.0,1755841592
0,12345,WIN,103450,12.527531,2190,100,100,100.0,1755842522
1,12346,WIN,4250,17.007107,2985,100,100,100.0,1755842540
2,12347,LOSS,4010,9.42372,1636,100,81,81.0,1755842550
3,12348,LOSS,3990,9.144102,1606,100,79,79.0,1755842560
4,12349,LOSS,3990,9.127818,1606,100,79,79.0,1755842570
5,12350,LOSS,4150,16.951251,2971,100,90,90.0,1755842588
6,12351,LOSS,2640,13.830242,2438,100,99,99.0,1755842602
7,12352,LOSS,2580,24.299895,4288,100,93,93.0,1755842627
8,12353,WIN,1850,21.001995,3675,100,100,100.0,1755842649
9,12354,LOSS,4130,10.541988,1831,100,88,88.0,1755842661
